country;continent;1952;1957;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007
Afghanistan;Asia;$779;$821;$853;$836;$740;$786;$978;$852;$649;$635;$727;$975
Albania;Europe;$1.601;$1.942;$2.313;$2.760;$3.313;$3.533;$3.631;$3.739;$2.497;$3.193;$4.604;$5.937
Algeria;Africa;$2.449;$3.014;$2.551;$3.247;$4.183;$4.910;$5.745;$5.681;$5.023;$4.797;$5.288;$6.223
Angola;Africa;$3.521;$3.828;$4.269;$5.523;$5.473;$3.009;$2.757;$2.430;$2.628;$2.277;$2.773;$4.797
Argentina;Americas;$5.911;$6.857;$7.133;$8.053;$9.443;$10.079;$8.998;$9.140;$9.308;$10.967;$8.798;$12.779
Australia;Oceania;$10.040;$10.950;$12.217;$14.526;$16.789;$18.334;$19.477;$21.889;$23.425;$26.998;$30.688;$34.435
Austria;Europe;$6.137;$8.843;$10.751;$12.835;$16.662;$19.749;$21.597;$23.688;$27.042;$29.096;$32.418;$36.126
Bahrain;Asia;$9.867;$11.636;$12.753;$14.805;$18.269;$19.340;$19.211;$18.524;$19.036;$20.292;$23.404;$29.796
Bangladesh;Asia;$684;$662;$686;$721;$630;$660;$677;$752;$838;$973;$1.136;$1.391
Belgium;Europe;$8.343;$9.715;$10.991;$13.149;$16.672;$19.118;$20.980;$22.526;$25.576;$27.561;$30.486;$33.693
Benin;Africa;$1.063;$960;$949;$1.036;$1.086;$1.029;$1.278;$1.226;$1.191;$1.233;$1.373;$1.441
Bolivia;Americas;$2.677;$2.128;$2.181;$2.587;$2.980;$3.548;$3.157;$2.754;$2.962;$3.326;$3.413;$3.822
Bosnia and Herzegovina;Europe;$974;$1.354;$1.710;$2.172;$2.860;$3.528;$4.127;$4.314;$2.547;$4.766;$6.019;$7.446
Botswana;Africa;$851;$918;$984;$1.215;$2.264;$3.215;$4.551;$6.206;$7.954;$8.647;$11.004;$12.570
Brazil;Americas;$2.109;$2.487;$3.337;$3.430;$4.986;$6.660;$7.031;$7.807;$6.950;$7.958;$8.131;$9.066
Bulgaria;Europe;$2.444;$3.009;$4.254;$5.577;$6.597;$7.612;$8.224;$8.240;$6.303;$5.970;$7.697;$10.681
Burkina Faso;Africa;$543;$617;$723;$795;$855;$743;$807;$912;$932;$946;$1.038;$1.217
Burundi;Africa;$339;$380;$355;$413;$464;$556;$560;$622;$632;$463;$446;$430
Cambodia;Asia;$368;$434;$497;$523;$422;$525;$624;$684;$682;$734;$896;$1.714
Cameroon;Africa;$1.173;$1.313;$1.400;$1.508;$1.684;$1.783;$2.368;$2.603;$1.793;$1.694;$1.934;$2.042
Canada;Americas;$11.367;$12.490;$13.462;$16.077;$18.971;$22.091;$22.899;$26.627;$26.343;$28.955;$33.329;$36.319
Central African Republic;Africa;$1.071;$1.191;$1.193;$1.136;$1.070;$1.109;$957;$845;$748;$741;$739;$706
